Load Date,Actual,SARIMAX Full,SARIMAX Restricted,XGBoost Full,XGBoost Restricted,XGBoost No Weather,Seasonal Naïve
2025-04-06,12.804714072648132,12.84334888157913,12.842174661351184,12.792278,12.786756,12.802883,12.861193399492658
2025-04-07,12.84515691036613,12.872860030061926,12.872543023659743,12.833897,12.83644,12.879122,12.89682947146748
2025-04-08,12.85107158084664,12.860046959885462,12.859804952975313,12.825555,12.827661,12.850869,12.851973594443248
2025-04-09,12.86592929460013,12.872698149578461,12.866333054005747,12.832657,12.831312,12.850268,12.81917503508108
2025-04-10,12.911788014490863,12.892664675631686,12.894413493694497,12.849123,12.845265,12.8706,12.817689762851485
2025-04-11,12.871473430447049,12.886629481264634,12.89575019556061,12.839271,12.845635,12.898275,12.855006671413792
2025-04-12,12.743223694463714,12.811188488851009,12.816483593625204,12.7464,12.760644,12.799811,12.83049656111321
2025-04-13,12.766810660675878,12.770487666241078,12.76843638440998,12.716067,12.707361,12.734548,12.804714072648132
2025-04-14,12.795965424349868,12.836831344907921,12.83671397651984,12.774049,12.786554,12.81992,12.84515691036613
2025-04-15,12.801838502948408,12.81085543375422,12.811194693418628,12.782762,12.783302,12.805264,12.85107158084664
2025-04-16,12.761582874322308,12.796026462089232,12.793876374177593,12.763597,12.77795,12.787992,12.86592929460013
2025-04-17,12.715456230057182,12.735950329216044,12.744582159608843,12.695764,12.678465,12.705683,12.911788014490863
2025-04-18,12.715182798717542,12.722683870876374,12.728551898005893,12.665644,12.667197,12.695087,12.871473430447049
2025-04-19,12.725550728575303,12.743272013966454,12.738711923419473,12.665297,12.662445,12.671376,12.743223694463714
2025-04-20,12.74024461021571,12.717457402813974,12.719012529253801,12.677926,12.671074,12.68437,12.766810660675878
2025-04-21,12.767007563031497,12.772741969884763,12.77662290532038,12.717542,12.706548,12.742186,12.795965424349868
2025-04-22,12.828413704515544,12.815670885929613,12.811880262154125,12.770677,12.767246,12.78597,12.801838502948408
2025-04-23,12.808830021362114,12.83469966033428,12.830633608277978,12.789661,12.787928,12.833203,12.761582874322308
2025-04-24,12.816096336009442,12.856697704086077,12.856323012444573,12.775095,12.783782,12.800439,12.715456230057182
2025-04-25,12.82696091260404,12.869221169508801,12.86910679466057,12.788168,12.796293,12.80577,12.715182798717542
2025-04-26,12.755337908259635,12.812007767805461,12.811826283059267,12.746599,12.7517605,12.782968,12.725550728575303
2025-04-27,12.747518643792771,12.770522421250895,12.769927483223544,12.7145405,12.706558,12.7432165,12.74024461021571
2025-04-28,12.78802286703932,12.800729179249068,12.803065669440846,12.7673,12.767714,12.805973,12.767007563031497
2025-04-29,12.768002895887063,12.787810488287164,12.790243366588552,12.757481,12.767052,12.795551,12.828413704515544
2025-04-30,12.751456205504375,12.773054858058876,12.769866036110475,12.736082,12.735962,12.773558,12.808830021362114
2025-05-01,12.699099812308308,12.718072891166804,12.727850691339391,12.682999,12.672352,12.686038,12.816096336009442
2025-05-02,12.738188025561827,12.763876449066268,12.76360167861525,12.696229,12.700339,12.696009,12.82696091260404
2025-05-03,12.711892762623751,12.756142549840696,12.75265259723404,12.68011,12.672648,12.669326,12.755337908259635
2025-05-04,12.724315692074027,12.773345247638815,12.767137145034484,12.702702,12.698145,12.690636,12.747518643792771
2025-05-05,12.80667407173834,12.81901080578193,12.816128331707919,12.770618,12.775549,12.791259,12.78802286703932
2025-05-06,12.78059956505836,12.818057005327713,12.818734114216884,12.7763,12.77356,12.810697,12.768002895887063
2025-05-07,12.752745027829668,12.794154427634297,12.789690856979046,12.747326,12.743702,12.769708,12.751456205504375
2025-05-08,12.7321818776604,12.780503993107843,12.783454693364227,12.724216,12.726455,12.754244,12.699099812308308
2025-05-09,12.7116605764999,12.75929454755374,12.763616104535796,12.699621,12.705642,12.714322,12.738188025561827
2025-05-10,12.64392749643999,12.693549398964311,12.695148504979214,12.646323,12.645569,12.657152,12.711892762623751
2025-05-11,12.614875510458754,12.667199554063114,12.666850170866834,12.628068,12.629511,12.653193,12.724315692074027
2025-05-12,12.671016621289864,12.6932376683391,12.693811083424965,12.661287,12.65789,12.671005,12.80667407173834
2025-05-13,12.685048404574111,12.691118434366325,12.692244010775175,12.670289,12.674433,12.685042,12.78059956505836
2025-05-14,12.711925927669606,12.733662447940453,12.72568561333974,12.680154,12.6851225,12.691502,12.752745027829668
2025-05-15,12.716723253981876,12.745366581054071,12.74804727714794,12.693159,12.694817,12.7044,12.7321818776604
2025-05-16,12.69724133138677,12.72991375794751,12.736261467749012,12.68529,12.680264,12.704296,12.7116605764999
2025-05-17,12.591515302182598,12.613819051869228,12.622952421065705,12.577191,12.581307,12.596464,12.64392749643999
2025-05-18,12.61166441228346,12.621863209561504,12.621196203194426,12.570273,12.571228,12.586616,12.614875510458754
2025-05-19,12.659317884085878,12.661250600331556,12.6656722988116,12.641577,12.645836,12.669989,12.671016621289864
2025-05-20,12.668582642516052,12.66720607391569,12.670087140303385,12.648719,12.649959,12.669186,12.685048404574111
2025-05-21,12.68985589818428,12.733554872794297,12.723606550248991,12.67527,12.673457,12.668716,12.711925927669606
2025-05-22,12.735620901843202,12.77041791216773,12.76711986838011,12.691893,12.693597,12.688793,12.716723253981876
2025-05-23,12.73865193325839,12.791391708623681,12.79187789169672,12.703462,12.707958,12.710829,12.69724133138677
2025-05-24,12.670231099977556,12.73526430599457,12.734594870504047,12.6501465,12.649054,12.664567,12.591515302182598
2025-05-25,12.67999670483744,12.698572186438977,12.697240781843416,12.628989,12.625873,12.639847,12.61166441228346
2025-05-26,12.689192998203945,12.748500323670177,12.749609655499746,12.703737,12.708116,12.745066,12.659317884085878
2025-05-27,12.695587805786108,12.736285983918187,12.733622774801361,12.690299,12.685819,12.690599,12.668582642516052
2025-05-28,12.675213402608772,12.72238537478481,12.717172809228625,12.685176,12.679131,12.699625,12.68985589818428
2025-05-29,12.637134022848702,12.668124696475402,12.67532163115197,12.591916,12.596339,12.607853,12.735620901843202
2025-05-30,12.663133502281989,12.698234047368679,12.699178317941538,12.64665,12.637419,12.641326,12.73865193325839
2025-05-31,12.622055580201028,12.66767491680244,12.666847913787553,12.596844,12.59839,12.612315,12.670231099977556
2025-06-01,12.633413394155776,12.659746197474632,12.657746040788574,12.623238,12.61809,12.613372,12.67999670483744
